,Date,Tour,Code département,département,Blancs et nuls,Exprimés,Inscrits,Votants,Abstention,Votants (%),Abstention (%),Année
208,1969-06-01,1.0,30,GARD,3087.0,216164.0,287719.0,219251.0,68468.0,76.2,23.8,1969
209,1969-06-01,1.0,31,HAUTE-GARONNE,4012.0,304835.0,398749.0,308847.0,89902.0,77.45,22.55,1969
210,1969-06-01,1.0,32,GERS,1228.0,85601.0,115119.0,86829.0,28290.0,75.43,24.57,1969
211,1969-06-01,1.0,33,GIRONDE,5011.0,450149.0,597506.0,455160.0,142346.0,76.18,23.82,1969
212,1969-06-01,1.0,34,HERAULT,2893.0,254880.0,339415.0,257773.0,81642.0,75.95,24.05,1969
213,1969-06-01,1.0,35,ILLE-ET-VILAINE,3834.0,309378.0,392368.0,313212.0,79156.0,79.83,20.17,1969
214,1969-06-01,1.0,36,INDRE,2092.0,121929.0,161332.0,124021.0,37311.0,76.87,23.13,1969
215,1969-06-01,1.0,37,INDRE-ET-LOIRE,2975.0,193104.0,253517.0,196079.0,57438.0,77.34,22.66,1969
216,1969-06-01,1.0,38,ISERE,3535.0,340098.0,457712.0,343633.0,114079.0,75.08,24.92,1969
217,1969-06-01,1.0,39,JURA,1516.0,107659.0,144478.0,109175.0,35303.0,75.57,24.43,1969
218,1969-06-01,1.0,4,ALPES-DE-HAUTE-PROVENCE,914.0,49192.0,65485.0,50106.0,15379.0,76.52,23.48,1969
219,1969-06-01,1.0,40,LANDES,2050.0,144742.0,180699.0,146792.0,33907.0,81.24,18.76,1969
220,1969-06-01,1.0,41,LOIR-ET-CHER,1882.0,128315.0,165374.0,130197.0,35177.0,78.73,21.27,1969
221,1969-06-01,1.0,42,LOIRE,3643.0,307541.0,417404.0,311184.0,106220.0,74.55,25.45,1969
222,1969-06-01,1.0,43,HAUTE-LOIRE,1364.0,102315.0,137977.0,103679.0,34298.0,75.14,24.86,1969
223,1969-06-01,1.0,44,LOIRE-ATLANTIQUE,4087.0,402518.0,507597.0,406605.0,100992.0,80.1,19.9,1969
224,1969-06-01,1.0,45,LOIRET,2921.0,198275.0,252010.0,201196.0,50814.0,79.84,20.16,1969
225,1969-06-01,1.0,46,LOT,809.0,82263.0,101415.0,83072.0,18343.0,81.91,18.09,1969
226,1969-06-01,1.0,47,LOT-ET-GARONNE,2004.0,140680.0,178358.0,142684.0,35674.0,80.0,20.0,1969
227,1969-06-01,1.0,48,LOZERE,459.0,40398.0,53265.0,40857.0,12408.0,76.71,23.29,1969
228,1969-06-01,1.0,49,MAINE-ET-LOIRE,3753.0,265827.0,340093.0,269580.0,70513.0,79.27,20.73,1969
229,1969-06-01,1.0,5,HAUTES-ALPES,686.0,42975.0,58734.0,43661.0,15073.0,74.34,25.66,1969
